NUMBER,NAME,LOCATION,ADDRESS,COURT
95,Ultimate Sporthaus,Negeri Sembilan,"12880-12887, Jalan BBN 1/7D, Bandar Baru Nilai, 71800 Nilai, Negeri Sembilan","Badminton, Futsal"
96,Jempol Futsal Galaxy,Negeri Sembilan,"8, Jalan Bahau - Batu Kikir, 72100 Bahau, Negeri Sembilan",Futsal
97,Kompleks Sukan dan Komuniti Krubong,Melaka,"Kompleks Sukan Komuniti Krubong, Salak Hilir, Paya Rumput, 76450 Malacca","Badminton, Futsal"
98,Dewan Badminton MSN,Melaka,"Dewan Badminton MSN, 75450 Melaka",Badminton
99,Gelanggang AKA Futsal Centre,Melaka,"Lot 14550 Gelanggang Futsal , Km Jalan Kampung, 75460 Telok Mas, Malacca",Futsal
100,Dewan Badminton Seri Pandan,Melaka,"1-17, Lorong 1 Jalan SP 2, Taman Seri Pandan, 75250 Melaka",Badminton
101,Sports Complex Batu Berendam,Melaka,"Jalan Dato Seri Hj Mat Zain, 75350 Melaka","Badminton, Futsal"
102,Malim Sports Centre,Melaka,"No 22&24, Jalan Abadi 4, Taman Malim Jaya, 75250 Melaka",Badminton
103,Jebat Racquet Sports Centre,Melaka,"Ixora Arena Badminton Hall, Jalan Ixora, 5th Floor, Bukit Beruang, 75450 Ayer Keroh, Melaka",Badminton
104,Yu Hwa Badminton Hall,Melaka,"Taman Widuri, 75350 Bachang, Melaka",Badminton
105,Futsal A Sports Arena,Melaka,"Jalan Klebang Besar, 75200 Melaka","Badminton, Futsal"
106,Centre Point Badminton Court,Melaka,"Jalan Munshi Abdullah, Kampung Bukit China, 75100 Melaka",Badminton
107,Kompleks Maksak,Melaka,"Jalan Angakasa Nuri 23, Taman Angkasa Nuri, 75350 Melaka","Badminton, Squash"
108,Batu Berendam Badminton Hall,Melaka,"6074-2, Jalan Dato Seri Haji Mohd Zin Melaka, 75350 Batu Berendam, Melaka",Badminton
109,Sport Planet Futsal Cheng,Melaka,"LOT 4824, Jalan Ttc 33, Taman Teknologi Cheng, 75400 Cheng, Melaka",Futsal
110,JO Badminton Hall,Melaka,"2794-2, jalan PK 16, Kawasan Perindustrian Krubong, 75260 Krubong, Malacca",Badminton
111,Heng Ann Badminton Hall,Melaka,"98, Lorong Panjang, Jalan Laksamana Cheng Ho, 75000 Malacca",Badminton
112,Dewan Badminton MAKSAK,Melaka,"1761, Jalan Angkasa Nuri 21, Taman Angkasa Nuri, 76100 Melaka",Badminton
113,Kompleks Sukan dan Komuniti Kundang Ulu,Johor,"Mukim Bukit Serampang, 4210 Tangkak, Johor","Badminton, Futsal"
114,Kompleks Sukan dan Komuniti Bandar Penawar,Johor,"Jalan Dato Syed Abdul Kadir, Bandar Penawar, 81930 Bandar Penawar, Johor",Futsal
115,Kompleks MSN Pagoh,Johor,"Lot 5687, Simpang Kampung Raja, Pagoh, 84600 Johor","Badminton, Futsal"
116,Stadium Futsal Pontian,Johor,"Jalan Delima 4, Pontian Kecil, 82000 Pontian, Johor",Futsal
117,Y Centre UTC JOHOR,Johor,"Jalan Trus, Bandar Johor Bahru, 80000 Johor Bahru, Johor",Futsal
118,PB Futsal,Johor,"TL 90 Jalan Parit Besar, Bt 2, Jalan Kluang, 83000 Batu Pahat, Johor",Futsal
119,Gelanggang Futsal Majlis Daerah Tangkak,Johor,"Jln Sialang, 84900 Tangkak, Johor",Futsal
120,Daiman Sports Complex,Johor,"1, Jalan Dedap 3, Johor Jaya, 81100 Johor Bahru, Johor",Badminton
121,Millennium Sports Center,Johor,"PTD 62580, Jalan Skudai, Batu 8 1/2, Skudai, 81300 Johor Bahru, Johor",Badminton
122,Daiman Sri Skudai Sports Center,Johor,"1, Jalan Emas Puteh 3, Taman Sri Skudai, 81300 Skudai, Johor","Badminton, Futsal"
123,Tebrau Sport & Recreation Centre,Johor,"Jalan Cantik, Taman Pelangi Indah, 81800 Ulu Tiram, Johor","Badminton, Futsal"
124,Sutera Sports World,Johor,"Sutera Sports World, Jln Persisiran Sutera Danga 1, Taman Sutera Utama, 81200 Skudai, Johor","Badminton, Futsal"
125,Just In Sports Centre,Johor,"No.1, Jalan Johor Jaya, Johor Jaya, 81100 Johor Bahru, Johor",Badminton
126,Permas Jaya Sports Complex,Johor,"Permas Jaya, 81750 Masai, Johor",Badminton
127,Pekan Nanas Sports Centre,Johor,"PTD 5141, Jalan Utama 3, Taman Utama, 81500 Pekan Nanas, Johor",Badminton
128,U Five Sports,Johor,"Lot 173075, Kg Sungai Rinting, Mukim Plentong, Taman Rinting, 81750 Masai, Johor","Badminton, Futsal"
129,TS Sport Complex Sdn. Bhd.,Johor,"Lot 6015-C, Jalan Ciku Utama 2, Johor, 81750 Masai",Badminton
130,Hot Sports Arena,Johor,"PDT 62580 BATU 8 1/2, Skudai Lbh, Skudai, 81300 Skudai, Johor","Badminton, Futsal"
131,Golden Sports Center,Johor,"21, Jln Ismail, Kampung Parit Setongkat, 84000 Muar, Johor",Badminton
132,Bubble Sports Complex Tebrau,Johor,"Level 5, Jln Harmonium 24/1, Taman Desa Tebrau, 81100 Johor Bahru, Johor",Badminton
133,Sri Amar JL Sports Centre,Johor,"Lot 5011, Jalan Cekor, Taman Sri Amar, 81100 Johor Bahru, Johor",Badminton
134,Too Bee Sport Centre,Johor,"Jalan Kota Puteri 1, Taman Perindustrian Kota Puteri 1, 81750 Masai, Johor",Badminton
135,Tiara Sports World,Johor,"Lot 7207, Jalan Pasir Pelangi, Pasir Pelangi, 80500 Johor Bahru, Johor","Badminton, Futsal"
136,Impian Sports,Johor,"Lot 152157, Jalan Selatan 11, Taman Impian Emas, 81300 Skudai, Johor","Badminton, Futsal, Volleyball"
137,Sports Prima Sdn Bhd,Johor,"PTD 64858, Jln Sri Purnama 4, Perindustrian Seri Purnama, 81100 Johor Bahru, Johor","Badminton, Futsal"
138,C & Y Badminton Court,Johor,"Jalan Langkasuka, Kawasan Perindustrian Dato Onn, 80350 Johor Bahru, Johor",Badminton
139,Desa Mutiara Sports Arena,Johor,"MLO 496, Jalan Desa Mutiara 7, Taman Desa Mutiara, 81800 Johor",Badminton
140,Victory Sports Centre,Johor,"112, Jalan Tongkang Pechah, 83000 Batu Pahat, Johor",Badminton
141,Dewan Badminton DJ Sport,Johor,"105, Jln Seniman, Kampung Seri Serdang, 81200 Johor Bahru, Johor",Badminton
142,KC Futsal,Johor,"Jalan Tahana, Kawasan Perindustrian Tampoi, 80350 Johor Bahru, Johor",Futsal
143,Everyday Sports,Johor,"PTD 32016, Jalan Anggerik 2, Taman Anggerik, 81200 Johor Bahru, Johor",Futsal
